name,event_type,event_time,description,city,class
Startup Pitch Bootcamp: Как питчить проект,Другое,2019-12-10 15:30:00+00,"Умение за короткое время время рассказать суть своего проекта - важнейший навык, который поможет вам получить финансирование, клиентов, партнеров и талантливых специалистов. Всего за три часа работы Startup Pitch Bootcamp поможет вам улучшить свои навыки подачи проекта и привлечь потенциальных соучредителей. Этот интенсивный совместный семинар включает в себя лекции ведущих основателей стартапов, призванные помочь вам понять ключевые составляющие успешного стартапо-строительства. Затем вы можете применить полученные знания и навыки ""запитчить"" свой проект как экспертам, так и коллегам. И получите конструктивную обратную связь в непринужденной обстановке. ⚪ Спикеры - Андрей Сатин, CEO и сооснователь UseID - Зоя Андреева, СЕО и со-основатель E-Contenta - Павел Белов, сооснователь gotech.vc - Ян Столяр, CEO и со-основатель Tuus Systems ⚪ Кому стоит посетить Pitch Bootcamp? - Любому, кто хочет попрактиковаться и получить совет эксперта в питчинге - Любому, у кого есть идея проекта или стартап на ранней стадии развития - Любому, хочет присоединиться к стартапу или найти сооснователей ⚪ Какие темы будут затронуты на Pitch Bootcamp? - Каковы составляющие отличной питч-презентации; - Как простым языком изложить сложные концепции; - Какие ошибки следует избегать при презентации проекта; - Как понять, что презентация и ее подача достаточно хороша. и многое еще :) ⚪ Какая программа? - Общение гостей, нетворкинг - Введение в Founder’s Insitiute - Рассказ экспертов, как запитчить свой бизнес - Питч-воркшоп - Speed - питчинг участниками - Завершение и нетворкинг Более подробную информацию об инвесторах, акселераторах, инкубаторах и технологических мероприятиях, смотрите в нашем списке Startup Resources: https://fi.co/startup_resources Заинтересованы в совершенствовании своей питч-презентации? Прочитайте наше руководство по питчингу (https://fi.co/pitch_deck) и загрузите шаблоны питч-презентаций (https://fi.co/pitch_deck#templates).",Sankt-Peterburg,busorg
Software Craftsmanship meetup #12: Проектирование highload-систем,meetup,2020-04-29 21:00:00+00,"Двенадцатый митап Software Craftsmanship пройдет онлайн и будет посвящен высоконагруженным системам. Мы систематизируем инструменты (всего 13), применяемые для разработки архитектуры высоконагруженных приложений, опишем базовый алгоритм из 6 шагов проектирования нагруженной системы. Также мы рассмотрим 3 примера нагруженных приложений — клиент для участия в Real Time Bidding аукционах, поисковик вместе с краулером для него, чат. Мы коснемся опасностей, которые подстерегают новичков и опытных архитекторов. Митап будет проходить в Zoom и в Youtube. Регистрация по ссылке: bit.ly/2Khw5Ru План митапа: — Что такое highload? — Приемы оптимизации нагруженного узла — Приемы оптимизации архитектуры — Алгоритм проектирования highload системы — Принципы проектирования highload системы — 3 примера — Опасности при проектировании — Highload в стартапе — Highload в сервисной компании — Нюансы Встреча на FB: www.facebook.com/events/2770515873074123",online,architecture
Фестиваль Lenovo Exastock — все инсайты о мире технологий собраны в одном месте,webinar,2020-07-12 21:00:00+00,"Компания Lenovo объявила о проведении недели технологий Lenovo Exastock с 13 по 17 июля 2020 года в режиме онлайн. Посетители фестиваля узнают из первых уст все о мире HPC и AI. Вдохновлённые музыкальным фестивалем Woodstock 1969 года Lenovo решили организовать HPC твист — его участников ждёт глубокое погружение в мир инноваций и атмосферу безграничной свободы. В рамках недели технологий будут организованы закрытые эксклюзивные виртуальные туры* 1:1 с топ-менеджерами Lenovo, которые расскажут обо всех трендах AI и HPC. В дополнение к турам Lenovo проведет увлекательные виртуальные сессии о технологии жидкостного охлаждения Lenovo Neptune™ и геномике, а также представит своих технологических партнёров, которые поделятся инсайтами об ИТ. Участники смогут посетить брифы по оборудованию Lenovo и разработкам партнеров: Intel , NVIDIA, Mellanox и NetApp . Для регистрации напишите на электронный адрес: lcrider@lenovo.com. Чтобы получать актуальную информацию о мероприятии, следите за новостями на сайте и подписывайтесь на социальные сети Lenovo. Новости Lenovo Exastock",online,undefined
The very first meetup,meetup,2015-04-17 14:00:00+00,"Hello! The first meetup will be held this Friday, April, 17th, at 6PM. If you haven’t done so yet, please ""RSVP"" (i.e. confirm you are planning to attend). The venue: CNTI Progress, Средний проспект В.О., д. 36/40, 5 этаж Agenda: 18:00 Intro to the event 18:05 Marat and Alexey will share their experience building a convolutional neural network in https://www.kaggle.com/c/datasciencebowl . 19-05 break 19:15 Alexey will speak on the trends in Russian Data Science community based on discussions at AIST 2015. (http://aistconf.org/) Hope to see you all. For updates please refer to the meetup page: http://bitly.com/spbdsm ------------------------------------------------------------------------ Привет! Первая встреча будет в эту пятницу, 17 апреля, в шесть вечера. Пожалуйста, подтвердите участие (укажите Yes в RSVP на страничке встречи), если вы еще этого не сделали. Место: ЦНТИ Прогресс, Средний проспект В.О., д. 36/40, 5 этаж Расписание: 18:00 Вступление 18:05 Марат и Алексей поделятся опытом построения сверточных нейронных сетей в https://www.kaggle.com/c/datasciencebowl . 19-05 перерыв 19:15 Алексей расскажет о трендах в русскоязычном Data Science сообществе (по итогам AIST 2015 (http://aistconf.org/)) Будем рады всех видеть. За обновлениями следите на: http://bitly.com/spbdsm",,ds
"Вебинар ""Ключевые элементы успешных LeSS трансформаций""",meetup,2020-04-29 21:00:00+00,"В преддверии международной LeSS конференции от Scrum.ua приглашаем на бесплатный ивент, посвященный ключевым элементам успешных LeSS трансформаций. ""We need less LeSS adoptions"" — профессиональная шутка от авторов Large Scale Scrum. И это правда. Ведь до тех пор, пока мы рассматриваем трансформацию или внедрение, как что-то временное, приходящее, мы теряем саму суть. Можно ли стать здоровым, спортивным или позитивным? Нет. Это путь, и само движение здесь важнее цели. Так и становления организаций адаптивными. Это — процесс, а не проект. И на онлайн-митапе мы поговорим о том, как меняется ДНК компаний, которые становятся на путь становления адаптивными, какие условия для этого должны сойтись, какие практики и анти-практики тут есть и ещё обо многом другом из наших личных консалтинговых историй. На встрече будут выступать: ● Левон Гончаров, Agile Coach & Co-Founder в AgileVerse, Scrum Master c 2011 года, участник масштабных трансформаций (Сбербанк, АльфаБанк Казахстан), cоздатель игры про ценности Scrum, соавтор инструмента Scrum Puzzle, соавтор подкаста Серебряная Чпуля. ""Трансформация — это про людей. Как искать волонтёров в трансформации? Волонтёры — это люди из команд, которые готовы подхватить трансформационные активности. И одна из проблем — как их находить и как создавать им условия"". ● Михаил Вязанкин, официальный переводчик Scrum Guide, Kanban Guide for Scrum Teams на русский язык, евангелист подхода Kaizen в трансформации, Accredited Kanban Trainer в Kanban University, Agile Coach & Founder в AgileVerse. ""Мы будем рассказывать: *Про людей и психологию волонтерства *Про определение продукта и отличия в B2B и B2C *Про важность технических практик в Less-adoption"". ● Алексей Кривицкий, Certified Scrum Trainer ® в Scrum Alliance, Agile Coach & Founder в Scrum.ua , переводчик и редактор книги ""Scrum и XP: заметки с передовой"" и автор книг ""Быстрый старт в agile ретроспективы"" и ""Powerful Coaching Interventions"". ● Евгений Лабунский, Agile Coach & Founder в Scrum.ua , Certified Scrum Professional ® в ScrumAlliance с 10+ годами опыта работы в agile окружении. ● Алексей Ходаковский, Agile Coach, Certified Scrum Professional ® в ScrumAlliance с 5+ годами опыта организационного коучинга, в том числе в распределенной среде. Регистрируйтесь, это бесплатно!",online,busorg
Курс NoSQL: Интеграция Hadoop и NoSQL,training,2020-08-23 21:00:00+00,"Программа курса Интеграция Hadoop и NoSQL Введение в NoSQL Базовые принципы и компоненты Hadoop Основные концепции и виды NoSQL решений Архитектура Data Lake Принципы формирование pipelines и Data Lake Организация импорта данных Apache Sqoop – основные принципы: простой импорт и экспорт данных из реляционных источников сценарии применения Apache Spark – обзор возможностей: импорт и экспорт данных из реляционных источников и файлов нагруженный импорт данных с преобразованием для вложенных, JSON, XML форматов Особенности использования форматов хранения файлов AVRO, ORC, Parquet. Организация Hadoop SQL интерфейса доступа к данным на файловой системе HDFS Apache Hive – интерфейс доступа для batch-процессинга данных на HDFS Основные компоненты системы Batch процессинг с использованием движков MapReduce/Tez, LLAP, Spark — особенности Тюнинг JOIN операций Сценарии использования Cloudera Impala – OLAP аналитика данных в MPP Hadoop Особенности решения Интеграция с Hive и HBase Форматы файлов для Cloudera Impala (Parquet, ORC) Особенности JOIN-операций Сценарии использования Spark SQL Возможности фреймворка и предоставляемые API Сложные преобразования и агрегация с использованием Spark SQL Интеграция с Hive Сценарии использования NoSQL в Hadoop Спектр возможностей NoSQL в экосистеме Hadoop Apache HBase – для real-time доступа на чтение и запись Архитектура решения, концепция CRUD, Проектирование базы данных, выбор column family Сценарии использования HBase Использование Apache Phoenix для HBase Организация хранилища MPP NoSQL на примере Greenplum/ArenadataDB Концепция MPP и её реализация в Greenplum/ArenadataDB. Загрузка и распределение данных. Сегментирование таблиц. Индексация Внешние таблицы, реплицированные таблицы, consistent hashing Оптимизация запросов, JOIN Best practices Сценарии использования OLAP на колоночных базах данных на примере Yandex ClickHouse и Arenadata Quick Marts Особенности реализации Шардирование, партиционирование, индексация Сценарии использования Описание курса https://www.bigdataschool.ru/bigdata/nosql-hadoop-course.html Организатор: BigDataSchool Наша компания ""Школа Больших Данных"" предлагаем уникальные практические курсы по Big Data (большие данные) а также материалы, новости, документы по следующим направлениям: Большие данные, Data Mining, Internet of Things, Industrial Internet of Things, цифровая трансформация, компоненты экосистемы Hadoop, Apache Spark,Kafka, NiFi, AirFlow,HBase, NoSQL, построение распределенных кластерных систем хранения больших данных и озер данных (Data Lakes) на платформах Cloudera Distributed Hadoop, Аренадата Hadoop, HortonWorks Data Platform и многое другое.",Москва,undefined
"Вебинар ""Английский: секреты эффективной коммуникации с native speakers""",webinar,2020-07-21 21:00:00+00,"Основные блоки вебинара: — культурные особенности общения на английском с иностранцами — как сделать так, чтобы Вас понимали представители других культур. И чтобы они действительно захотели Вас понять. — каким образом доносить свою мысль на английском во время важных переговоров, общения по рабочим вопросам или на job interview — лайфхаки как лучше решить спор с иностранцем: английские конструкции и грамматика, которая нужна в такой ситуации — как учить английский, который понимают все, и говорить на нём Пожалуйста, при регистрации указывайте с какими национальностями Вы общаетесь на английском и какие сложности у Вас иногда возникают, и мы поговорим об этом на вебинаре. А ещё, там будет теория и много практики, поэтому если готовы действовать — регистрируйтесь за 10 секунд тут: forms.gle/tCZvX26F6bT2MKk38 Мы ждём особенных осознанных людей, которые готовы работать и получать результат, а не тех, кто просто придёт фоново послушать. О спикере: Тимошик Яна, руководитель и главный методист креативной студии английского Smart English, г. Киев. Опыт преподавания — 12 лет; изучала английский язык и психологию языка в Британии, г. Брайтон. А ещё, Яна готовит к собеседованиям и презентациям на английском, а также к командировкам в другие страны. Обязательно, напишите при регистрации свой email и телефон — мы пришлём Вам ссылку где будет проходить вебинар на почту и в SMS во время начала трансляции. Также проверяйте ""Спам"": наше письмо может оказаться там. Если у вас есть любые вопросы — пожалуйста, пишите или звоните нам: 093-167-58-28 (Viber, Telegram), 097-062-90-96 ad.smartenglish@gmail.com . Делитесь этим вебинаром с друзьями, коллегами и родственниками, кому он будет полезен. До встречи онлайн 22 июля! Регистрация обязательна: forms.gle/tCZvX26F6bT2MKk38 Живите креативно!",online,undefined
"Часть 2 вебинара ""Произношение для IT специалистов: что — заучить, а на что — забить""",webinar,2020-06-08 21:00:00+00,"Вы очень просили, поэтому мы проводим ВТОРУЮ ЧАСТЬ бесплатного вебинара ""Произношение для IT специалистов: что — заучить, а на что — забить"": На новом вебинаре будет ещё больше практики. И главное — Вы узнаете: почему если Вы улучшите своё произношение, Вы начнёте лучше понимать носителей языка. Если Вы хотите, чтобы Вас понимали, когда Вы говорите на английском, и при этом хочется самим понимать на слух английский других людей, тогда регистрируйтесь прямо сейчас по ссылке: forms.gle/yKXKCRQZyhkkPb9r5 На вебинаре будем говорить об английском, который понимают все! Основные блоки вебинара: — что в английском произношении очень важно для общения с иностранным заказчиком, а на что лучше закрыть глаза, но не все это осознают и зря стараются; — нужно ли избавляться от украинского / русского акцента; — каким образом избавиться от стеснительности и страха ""я звучу по-английски плохо""; — практические упражнения, о которых Вы не слышали, но они дают результат; — как же правильно выговаривать слова binary, entrepreneurial, efficiency, error, circumstances, header, deteriorate и многие другие; — насколько Ваше произношение может повлиять на работу с иностранным заказчиком, и как сделать так, чтобы оно влияло позитивно. Вы считаете, что иностранцы Вас и так поймут, и нет смысла заморачиваться над правильным произношением? Тогда Вы точно удивитесь :) После каждого вебинара наши слушатели отмечают, что никогда раньше такого не делали. На вебинаре будет много практики, поэтому если готовы действовать — регистрируйтесь за 10 секунд тут: forms.gle/yKXKCRQZyhkkPb9r5 . Мы ждём особенных осознанных людей, которые готовы работать и получать результат, а не тех, кто просто придёт фоново послушать. О спикере: я — Тимошик Яна, руководитель и главный методист креативной студии английского Smart English, г. Киев. Опыт преподавания — 12 лет; изучала английский язык и методику преподавания в Британии, г. Брайтон. А ещё — готовлю к собеседованиям и презентациям на английском, а также к командировкам в другие страны. Поэтому ей есть чем с Вами поделиться :) Пожалуйста, обязательно укажите при регистрации свой email и телефон — мы пришлём Вам ссылку где будет проходить вебинар на почту и в SMS во время начала трансляции. Также проверяйте ""Спам"": наше письмо может оказаться там. Если Вам не пришло письмо о подтверждении регистрации или не пришла ссылка на трансляцию в день вебинара, любые другие вопросы — пожалуйста, пишите или звоните нам: 093-167-58-28 (Viber, Telegram), 097-062-90-96 ad.smartenglish@gmail.com . Делитесь и Вы этим вебинаром с друзьями, коллегами и родственниками, кому он будет полезен. До встречи онлайн 10 июня! Регистрация обязательна: forms.gle/yKXKCRQZyhkkPb9r5 Живите креативно!",online,undefined
"She’s Next, Empowered by Visa в Беларуси",webinar,2020-07-26 21:00:00+00,"Международная компания платежных технологий Visa объявляет о старте приема заявок на участие в первом масштабном онлайн-хакатоне для женщин-предпринимателей в Беларуси. Мероприятие состоится в рамках глобальной инициативы She’s Next, Empowered by Visa по поддержке женщин-предпринимателей, которые управляют, финансируют и развивают собственный бизнес. Заявки для участия можно подать из любого региона Беларуси на сайте She’s Next Беларусь . Важно отметить, что участие в хакатоне возможно как для сформированных команд, так и для отдельных участников , желающих найти единомышленников, приобрести новые знания и опыт, а также создать прорывной продукт. Несмотря на ключевую идею поддержки женского сообщества, пол участников не ограничивается – к участию в хакатоне допускаются все желающие. Наша цель – продемонстрировать преимущества гендерно сбалансированных команд и вдохновить как можно больше женщин на лидерство в секторе стартапов и малого бизнеса. Онлайн-формат мероприятия позволяет объединить команды, менторов и жюри из самых разных уголков страны для главной цели – поддержки развития женского малого и среднего бизнеса в Беларуси. Партнерами мероприятия, которые оказывают менторскую поддержку и вносят свой вклад в призовой фонд для победителей, стали Главный партнер — Белагропромбанк, а также Белинвестбанк, МТБанк. Техническим партнером хакатона выступает стартап-хаб Имагуру . На основании отбора анкет участники получат письмо-подтверждение и уже 23 июля соберутся на первую онлайн-встречу , где смогут познакомиться друг с другом, менторами, получить задание и поучаствовать в сессии по дизайн-мышлению. 27 июля состоится официальное открытие хакатона , после чего команды получат возможность активно работать над проектами в удаленном формате, консультируясь с менторами. Финал хакатона в онлайн формате запланирован на 2 августа , где участники смогут получить обратную связь, оценку проделанной работы и побороться за гранты на развитие проекта и другие призы от партнеров и организаторов мероприятия. "" Visa продолжает поддержку малого и среднего бизнеса в Беларуси не только с помощью внедрения инновационных решений, но и создания условий для активного развития рынка. Мы понимаем, как важно поощрять инициативы женского предпринимательства не только на словах, поэтому благодарны всем банкам-партнерам, которые вместе с нами готовы способствовать обучению участников и продвижению их идей в будущем. Мы хотим, чтобы онлайн-хакатон She’s Next, Empowered by Visa стал площадкой для поддержки женского лидерства и развития новых бизнес-идей в различных сферах "", – прокомментировала Светлана Чирва , региональный менеджер Visa в Беларуси, Украине и Молдове. Среди призов, за которые будут бороться участники хакатона: Главный приз : акселерационная программа стартап-хаба Имагуру и приз в размере 6000 долларов от Visa и Белагропромбанка на развитие предложенного проекта; Победа в номинации ""Лучшее прорывное решение"": акселерационная программа стартап-хаба Имагуру и приз в размере 4000 долларов от Visa и Белагропромбанка на развитие предложенного проекта; Победа в номинации ""Лучшее решение по версии Партнера (МТБанк)"": сертификат на обслуживание в МТБанк на выгодных условиях для команды стартапа. Победа в номинации ""Лучшее решение по версии Партнера (Белинвестбанк)"": сертификат на обслуживание в Белинвестбанке на выгодных условиях для команды стартапа. Также остальные команды получат гарантированный приз в виде доступа к образовательному онлайн-пакету Имагуру для стартапов , который включает набор онлайн инструментов по развитию своего бизнеса. Регистрируйтесь на участие в онлайн-хакатоне на сайте She’s Next Беларусь и следите за новостями, чтобы не упустить шанс зарядиться новыми идеями и знаниями для развития своего дела. В марте 2020 года Беларусь стала первой страной в Европе и СНГ , где стартовала глобальная программа поддержки женщин-предпринимателей. Запуск инициативы был анонсирован на ""Я Сама Fest"" – заключительном мероприятии программы ПРООН ""Содействие занятости и самозанятости населения в малых и средних городах Республики Беларусь"", которую организовал проект ПРООН и Минэкономики Беларуси ""Малые города"" при финансовой поддержке Российской Федерации, где Visa выступила партнером. С момента запуска инициатива She’s Next Empowered by Visa объединяет тысячи женщин-предпринимателей по всему миру. Ранее программа была успешно реализована в США (Нью-Йорк, Атланта, Лос-Анджелес, Вашингтон, округ Колумбия), Канаде (Торонто), ЮАР (Кейптаун). Visa продолжает расширять программу по всему миру, включая такие страны и регионы как Индия, Гонконг, Великобритания, Африка. Информация о компании Visa Visa Inc. (NYSE: V) является мировым лидером в области цифровых платежей. Наша миссия ‒ объединить мир посредством наиболее инновационной, надёжной и безопасной платёжной сети, что позволяет потребителям, бизнесу и экономике в целом планомерно развиваться. Наша новейшая глобальная технологическая сеть VisaNet обеспечивает надежные и безопасные платежи по всему миру, и может обрабатывать более 65 000 транзакций в секунду. Компания Visa уделяет большое внимание инновациям, что является катализатором быстрого роста ""connected commerce"", в условиях которой практически любое подключенное устройство способно осуществлять платежи, и таким образом приближает переход к будущему без наличных — для всех и везде. По мере того, как происходит переход от аналоговых технологий к цифровым, Visa использует свой бренд, продукты, экспертов, сеть и масштаб для трансформации коммерции. Для получения дополнительной информации посетите сайт usa.visa.com/about-visa , www.visa.com.by , https://www.facebook.com/VisaBelarus .",online,undefined
Курс: Pre-sale Management,training,2020-06-22 21:00:00+00,"Тренинг-центр AdvanceIT приглашает на курс ""PreSale Management"" . 10 занятий с интерактивом, практическими работами в группах, разбором кейсов и домашних заданий при поддержке 4-х менторов . PreSale — финальный, и самый важный, этап процесса продаж — закрытие сделки — от появления интереса у потенциального заказчика до заключения контракта. С точки зрения sales — это этап sales closing. Но успех сделки зависит не только от Sales Manager-а, но и от вклада Delivery-команды в формирование Proposal-а — оценки проекта, выбора типа контракта, согласования правил игры. Формат обучения — онлайн, но максимально приближенный в оффлайн: столько же интерактива и практических работ — индивидуально и в группах. В качестве домашних работ вы проведете аудит и настройку вашего процесса PreSale, сможете предотвратить основные риски проекта до заключения контракта. Навыки, приобретенные на курсе помогут: ● Для BDM и Sales — повышение конверсии из ""теплого"" лида в контракт ● Для PM, ВА и Delivery-команды — согласованные ожидания и выполнимые условия проекта ● Для Компании в целом — эффективное взаимодействие Sales и Delivery без потерь и конфликтов, рост доверия и сговорчивости со стороны клиентов. ● Для ваших Клиентов — обоснованная цена, понятный процесс, ценный результат Содержание курса Вы проведете аудит и настройку процесса PreSale и инициирования проекта, сможете предотвратить основные риски проекта до заключения контракта. Вы научитесь: ● Определять Scope (и out of scope) проекта (совместно: Sales, Delivery, Заказчик) ● Обосновывать proposal и ""продавать"" его заказчику ● Выявлять ожидания заказчика к продукту, процессам, отношениям ● Настраивать прозрачные правила взаимодействия с заказчиком ● Определять точные условия сдачи-приемки, поддержки, гарантии ● Корректно рассчитывать бюджет проекта ● Распределять роли и согласовывать ожидания внутри PreSale-команды ● Выстаивать работу с рекрутингом на этапе PreSale ● Предотвращать срывы контракта и проблемы в ходе проекта, связанные с основными юридическими нюансами работы с иностранными контрагентами и ФОПами. Поработать придется не только вам, но и вашим коллегам. Курс будет полезен Sales manager, Project Manager, Business Analyst, Tech/Team Leads, CEO, CTO. А также не помешает BDM, Account manager, COO. Подробнее Знакомьтесь с программой , читайте отзывы и записывайтесь на курс PreSale Management от AdvanceIT. Контакты: Елена Петрова ● тел/telegram +380 97 79 43 556, ● skype: elle-nka, ● elena.p@advanceit.com.ua Этап PreSale является частью процессов продаж и деливери. Для обеспечения системного эффекта AdvanceIT предлагает смежные курсы: ● Process Management , ● Business Analysis .",online,busorg
SWAY — Аджайл в бизнесе,webinar,2020-07-08 21:00:00+00,"SWAY — Аджайл в бизнесе Овладейте новой высокооплачиваемой профессией SWAY-коуча, обучаясь у создателя SWAY Марины Алекс. Курс SWAY помогает внедрить Аджайл в продажах, менеджменте и маркетинге. Получите российский сертификат о дополнительном образовании и международный сертификат от компании SWAY systems. Что такое SWAY Это новая система продаж, основанная на самоорганизованности, кросс-функциональности и ценностном подходе. SWAY — это SCRUM, адаптированный для бизнеса. SWAY увеличивает выполнение плана продаж в среднем в 2-3 раза за 12 месяцев благодаря вовлечённости сотрудников и ценностному подходу к клиенту. Эффективность SWAY доказана на практике: её успешно применяют в 20 странах мира. SWAY помогает многим компаниям адаптироваться к новой коронавирусной реальности. Ведущая курса Марина Алекс Ведущая курса — международный эксперт, автор системы SWAY, практик Запустила более 170 Agile-команд, в том числе команды топ-менеджеров. Имеет 10-летний опыт продаж в топ-5 финансовых компаний России. Консультирует компании в 12 странах мира.",online,undefined
Webinar for juniors Izhevsk #2,webinar,2020-10-22 14:00:00+00,"Только начинаете карьеру в IT и хотите получить больше полезных в работе знаний? С 15 октября по 12 ноября мы проводим серию онлайн-вебинаров для студентов и начинающих IT-специалистов Webinar for Juniors! Никакой воды – только прикладные знания от опытных разработчиков о самых востребованных на рынке технологиях! 22 октября в 18:00 (GTM+4) выступит Илья Исахин с темой ""Kotlin - Java, которую мы заслужили"". Kotlin становится все популярнее для написания бэкендов (Kotlin/JVM) и фронтендов (Kotlin/JS). Попробуем посмотреть на него поближе, сравнить с великой Джавой, понять, почему этот язык стал таким популярным и поиграться с его фичами! А после вебинаров вас ждёт полезный бонус: вы получите подборку материалов, которая поможет в работе начинающим разработчикам. Узнайте больше о карьере в IT вместе с EPAM на Webinar for Juniors! Где: онлайн, ZOOM Когда: 22 октября, 18:00 (GTM+4) Регистрация по ссылке: https://epa.ms/webinar2juniorsizh22okt2020",Без города,web
Продвижение ИТ-продуктов в b2b: какие инструменты использовать в 2020-м,conference,2020-07-19 21:00:00+00,"20.07 в 12:00 по МСК Хотите попробовать что-то более действенное для увеличения продаж, чем профильные ИТ-конференции и ""сарафанное радио""? Не знаете, с чего начать или как пересмотреть подход к теме в своей компании? Приходите на практический вебинар по продвижению и продажам узких ИТ-продуктов в b2b для руководителей и коммерческих директоров. Регистрация. Для кого: CEO/CBO и руководителей ИТ-компаний, создающих продукт для b2b; Коммерческих директоров и директоров по продажам сложных ИТ-решений и услуг. О чём вебинар: Тренды маркетинга и PR в ИТ для b2b 2020: реалии рынка. Где искать клиентов? Как выделить и упаковать ""ценностное предложение"" вашего продукта для вашей целевой аудитории: ищем месседжи и формируем ключевые отличия; Как управлять продажами через маркетинг и PR: разбираемся с целями PR и маркетинга, коммуникацией и инструментами для эффективного взаимодействия с b2b аудиторией. С чем уйдёте: Пониманием трендов рынка; Пониманием своих конкурентных отличий; Списком рабочих инструментов для коммуникации с ЦА в b2b. О спикере: Марина Елина — Head of PR агентства iTech.moscow, спикер Startup Grind SPb. Создатель и ведущая корпоративных авторских курсов-вебинаров по PR и маркетингу для технологичных компаний. Журналист.",online,undefined
